               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0. 5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.071221,           0.0020428,           0.0056432,             0.58415,             0.46594,             0.47826,             0.29157,            0.058566,           0.0018179,           0.0053606,           0.0029703,           0.0029703,           0.0029703
                  61,             0.07101,           0.0020373,           0.0056437,             0.59526,             0.46029,             0.47855,             0.29187,            0.058547,            0.001817,           0.0053575,           0.0029627,           0.0029627,           0.0029627
                  62,            0.070907,           0.0020289,           0.0056118,             0.59163,             0.46288,             0.47903,             0.29213,             0.05853,           0.0018163,           0.0053545,            0.002955,            0.002955,            0.002955
                  63,            0.070955,           0.0020421,           0.0056233,             0.58633,             0.46712,             0.47942,             0.29221,            0.058513,           0.0018153,           0.0053517,           0.0029471,           0.0029471,           0.0029471
                  64,              0.0709,           0.0020516,           0.0056211,             0.57842,             0.47165,             0.47961,             0.29242,            0.058498,           0.0018146,           0.0053491,           0.0029392,           0.0029392,           0.0029392
                  65,            0.070887,           0.0020481,           0.0055963,             0.57505,             0.47359,             0.47974,             0.29265,            0.058475,           0.0018138,           0.0053478,           0.0029311,           0.0029311,           0.0029311
                  66,            0.071118,            0.002057,           0.0055945,             0.59567,             0.46147,             0.48006,             0.29278,            0.058457,           0.0018131,           0.0053474,           0.0029229,           0.0029229,           0.0029229
                  67,            0.070631,           0.0020369,           0.0055847,             0.57367,              0.4744,             0.48023,             0.29312,            0.058437,           0.0018124,           0.0053461,           0.0029146,           0.0029146,           0.0029146
                  68,            0.070766,           0.0020476,           0.0055918,             0.60304,             0.45875,             0.48058,             0.29337,            0.058415,           0.0018117,           0.0053442,           0.0029062,           0.0029062,           0.0029062
                  69,            0.070545,           0.0020283,           0.0055813,             0.58415,             0.46999,             0.48115,             0.29368,            0.058397,           0.0018111,           0.0053414,           0.0028977,           0.0028977,           0.0028977
                  70,            0.070822,           0.0020362,           0.0055827,             0.58056,             0.47268,             0.48146,             0.29391,            0.058382,           0.0018105,           0.0053393,           0.0028891,           0.0028891,           0.0028891
                  71,            0.070673,           0.0020474,           0.0055453,              0.5817,             0.47275,             0.48172,             0.29406,            0.058363,           0.0018099,           0.0053367,           0.0028804,           0.0028804,           0.0028804
                  72,            0.070616,           0.0020349,           0.0055493,             0.59952,             0.46275,             0.48197,             0.29439,            0.058345,           0.0018093,           0.0053345,           0.0028716,           0.0028716,           0.0028716
                  73,            0.070598,           0.0020334,           0.0055381,             0.59451,             0.46607,             0.48257,             0.29477,            0.058329,           0.0018085,           0.0053321,           0.0028627,           0.0028627,           0.0028627
                  74,            0.070704,           0.0020412,           0.0055395,             0.60044,             0.46267,             0.48266,             0.29484,            0.058315,           0.0018079,           0.0053304,           0.0028536,           0.0028536,           0.0028536
                  75,            0.070369,           0.0020331,           0.0055365,             0.60071,             0.46311,             0.48283,             0.29501,            0.058303,           0.0018073,           0.0053293,           0.0028445,           0.0028445,           0.0028445
                  76,            0.070461,           0.0020251,           0.0055277,             0.60641,             0.46042,             0.48319,             0.29521,            0.058277,           0.0018067,           0.0053262,           0.0028353,           0.0028353,           0.0028353
                  77,            0.070421,           0.0020224,           0.0055056,             0.59413,             0.46799,             0.48366,             0.29556,            0.058258,           0.0018064,           0.0053245,           0.0028259,           0.0028259,           0.0028259
                  78,            0.070545,           0.0020371,           0.0055206,             0.59775,             0.46639,             0.48402,             0.29579,            0.058246,           0.0018056,           0.0053221,           0.0028165,           0.0028165,           0.0028165
                  79,            0.070087,           0.0020229,            0.005493,             0.60333,             0.46417,             0.48447,              0.2963,             0.05823,            0.001805,           0.0053209,            0.002807,            0.002807,            0.002807
                  80,             0.07039,           0.0020353,           0.0054996,             0.60635,             0.46258,             0.48486,              0.2965,            0.058211,           0.0018047,           0.0053198,           0.0027973,           0.0027973,           0.0027973
                  81,            0.070435,           0.0020294,           0.0055212,             0.60527,             0.46351,             0.48547,             0.29676,            0.058196,            0.001804,           0.0053181,           0.0027876,           0.0027876,           0.0027876
                  82,             0.07039,            0.002019,           0.0054668,             0.57884,              0.4787,             0.48571,               0.297,            0.058181,           0.0018035,           0.0053175,           0.0027778,           0.0027778,           0.0027778
                  83,            0.070261,           0.0020205,           0.0054841,             0.58052,             0.47754,             0.48603,             0.29702,            0.058167,           0.0018031,           0.0053156,           0.0027679,           0.0027679,           0.0027679
                  84,            0.070054,           0.0020074,           0.0054615,             0.59773,             0.46858,             0.48629,             0.29737,            0.058161,           0.0018027,            0.005315,           0.0027579,           0.0027579,           0.0027579
                  85,            0.070107,           0.0020347,           0.0054626,             0.59424,             0.47031,             0.48647,             0.29758,            0.058152,            0.001802,           0.0053141,           0.0027478,           0.0027478,           0.0027478
                  86,            0.069923,           0.0020191,           0.0054426,              0.6056,             0.46478,             0.48674,             0.29776,            0.058145,           0.0018015,           0.0053124,           0.0027376,           0.0027376,           0.0027376
                  87,            0.070085,           0.0020192,           0.0054461,             0.60984,             0.46263,             0.48713,             0.29788,            0.058136,           0.0018008,           0.0053108,           0.0027273,           0.0027273,           0.0027273
                  88,            0.070102,             0.00203,           0.0054453,              0.6012,             0.46763,             0.48709,             0.29786,            0.058133,           0.0018006,           0.0053095,           0.0027169,           0.0027169,           0.0027169
                  89,            0.069911,           0.0020293,            0.005416,             0.61749,             0.46042,             0.48729,             0.29808,            0.058119,           0.0018003,            0.005309,           0.0027064,           0.0027064,           0.0027064
                  90,            0.069829,           0.0020197,           0.0054024,             0.62546,             0.45671,             0.48749,             0.29816,            0.058102,           0.0017997,           0.0053076,           0.0026959,           0.0026959,           0.0026959
                  91,            0.069932,           0.0020167,           0.0054154,             0.61731,             0.46086,             0.48777,             0.29831,            0.058094,           0.0017996,           0.0053063,           0.0026852,           0.0026852,           0.0026852
                  92,            0.069803,           0.0020025,           0.0054293,             0.61807,              0.4608,             0.48807,              0.2984,            0.058084,            0.001799,            0.005304,           0.0026745,           0.0026745,           0.0026745
                  93,            0.070014,           0.0020317,           0.0054155,             0.61129,             0.46523,             0.48836,             0.29866,            0.058074,           0.0017992,           0.0053021,           0.0026637,           0.0026637,           0.0026637
                  94,            0.069896,           0.0020172,            0.005424,             0.60266,             0.47061,             0.48851,              0.2987,             0.05807,           0.0017987,           0.0053014,           0.0026528,           0.0026528,           0.0026528
                  95,            0.069836,           0.0020164,           0.0053979,             0.60152,             0.47118,             0.48846,             0.29877,            0.058067,           0.0017984,           0.0052992,           0.0026418,           0.0026418,           0.0026418
                  96,            0.069406,           0.0020096,           0.0053822,             0.60362,             0.47001,             0.48924,             0.29931,            0.058057,            0.001798,           0.0052965,           0.0026307,           0.0026307,           0.0026307
                  97,            0.069622,           0.0020027,           0.0053863,             0.61561,             0.46376,             0.48972,             0.29952,            0.058045,           0.0017976,           0.0052935,           0.0026196,           0.0026196,           0.0026196
                  98,            0.069763,           0.0020193,           0.0053631,             0.59272,             0.47707,             0.48986,             0.29938,            0.058044,            0.001797,           0.0052928,           0.0026084,           0.0026084,           0.0026084
                  99,            0.069507,           0.0020177,           0.0053455,             0.61259,             0.46595,             0.48989,             0.29951,            0.058035,           0.0017965,           0.0052927,           0.0025971,           0.0025971,           0.0025971
                 100,            0.069646,           0.0020175,           0.0053715,              0.6091,             0.46776,             0.49007,             0.29951,            0.058028,           0.0017961,           0.0052925,           0.0025857,           0.0025857,           0.0025857
                 101,            0.069551,           0.0020083,           0.0053596,             0.59074,             0.47839,              0.4903,             0.29964,            0.058019,           0.0017958,           0.0052915,           0.0025742,           0.0025742,           0.0025742
                 102,             0.06958,            0.002011,           0.0053503,             0.59781,             0.47437,             0.49027,             0.29968,            0.058012,           0.0017955,           0.0052904,           0.0025627,           0.0025627,           0.0025627
                 103,            0.069519,           0.0020256,           0.0053289,              0.5868,             0.48083,             0.49067,             0.29995,            0.058009,           0.0017955,           0.0052893,           0.0025511,           0.0025511,           0.0025511
                 104,            0.069466,           0.0020185,           0.0053476,             0.58442,             0.48296,              0.4909,             0.30021,            0.058001,            0.001795,           0.0052862,           0.0025394,           0.0025394,           0.0025394
                 105,            0.069437,            0.002014,           0.0053304,             0.58732,              0.4822,             0.49119,              0.3005,            0.057995,           0.0017947,           0.0052835,           0.0025277,           0.0025277,           0.0025277
                 106,            0.069452,           0.0020154,           0.0053218,             0.58573,             0.48313,             0.49128,             0.30049,            0.057987,           0.0017945,            0.005282,           0.0025159,           0.0025159,           0.0025159
                 107,             0.06923,            0.002002,           0.0053148,             0.58897,             0.48128,             0.49149,             0.30066,            0.057984,           0.0017941,           0.0052813,            0.002504,            0.002504,            0.002504
                 108,            0.069531,           0.0020017,           0.0053327,             0.59562,             0.47697,             0.49179,             0.30074,            0.057977,           0.0017938,           0.0052796,            0.002492,            0.002492,            0.002492
